BANK {'anchors': 2, 'gap': 0.09255938051220558, 'query': 0.7565236929819452}
BANK {'anchors': 3, 'gap': 0.04645244626350076, 'query': 0.4560160688496158}
BANK {'anchors': 4, 'gap': 0.04601312974761024, 'query': 0.9028416065984153}
BANK {'anchors': 5, 'gap': 0.020473047011979828, 'query': 0.2953821642665579}
BANK {'anchors': 6, 'gap': 0.014153833967960772, 'query': 0.5966417528733994}
BANK {'anchors': 7, 'gap': 0.012369685342581815, 'query': 0.9437997830446555}
BANK {'anchors': 8, 'gap': 0.010849411144512544, 'query': 0.15034850812461634}
BANK {'anchors': 9, 'gap': 0.009083450587113795, 'query': 0.8645890598174474}
BANK {'anchors': 10, 'gap': 0.005952235507624248, 'query': 0.5399965210230223}
BANK {'anchors': 11, 'gap': 0.0059213039604264495, 'query': 0.36101794261747294}
BANK {'anchors': 12, 'gap': 0.005193595331296319, 'query': 0.7054985914283491}
BANK {'anchors': 13, 'gap': 0.005070870537342564, 'query': 0.07685391582081064}
BANK {'anchors': 14, 'gap': 0.00506366943870562, 'query': 0.2271847757725258}
BANK {'anchors': 15, 'gap': 0.0038179279915950826, 'query': 0.6509812050259168}
BANK {'anchors': 16, 'gap': 0.003784854146261396, 'query': 0.9671008960259051}
BANK {'anchors': 17, 'gap': 0.003572555348029638, 'query': 0.8300775037354603}
BANK {'anchors': 18, 'gap': 0.003470157266449281, 'query': 0.5052835577963376}
BANK {'anchors': 19, 'gap': 0.003430662161192921, 'query': 0.9230712019141109}
BANK {'anchors': 20, 'gap': 0.0032911546027595273, 'query': 0.40912484618487255}
BANK {'anchors': 21, 'gap': 0.0025231793599145846, 'query': 0.8914984003651087}
BANK {'anchors': 22, 'gap': 0.0024642013594688983, 'query': 0.5631191468631388}
BANK {'anchors': 23, 'gap': 0.0024171894800835148, 'query': 0.03211408497700146}
BANK {'anchors': 24, 'gap': 0.0022792342557471645, 'query': 0.7791236817702207}
BANK {'anchors': 25, 'gap': 0.0020888327404948726, 'query': 0.19105758359545705}
BANK {'anchors': 26, 'gap': 0.002015666486124057, 'query': 0.26000617368235873}
BANK {'anchors': 27, 'gap': 0.0020081923899633036, 'query': 0.332078723915671}
BANK {'anchors': 28, 'gap': 0.0019600274332739476, 'query': 0.12735413456092423}
BANK {'anchors': 29, 'gap': 0.0019036667762594162, 'query': 0.9889070990014076}
BANK {'anchors': 30, 'gap': 0.0016717695591003112, 'query': 0.682112393772629}
BANK {'anchors': 31, 'gap': 0.0015573965949509105, 'query': 0.47154557163109106}
BANK {'anchors': 32, 'gap': 0.0015534953642593607, 'query': 0.619423793783581}
BANK {'anchors': 33, 'gap': 0.0015487073656219597, 'query': 0.582123943050387}
BANK {'anchors': 34, 'gap': 0.001392918670977572, 'query': 0.09138797918224854}
BANK {'anchors': 35, 'gap': 0.001358778044586284, 'query': 0.04914981510372711}
BANK {'anchors': 36, 'gap': 0.0013044833502700581, 'query': 0.8494194072015433}
BANK {'anchors': 37, 'gap': 0.0012769168085131621, 'query': 0.9526899568107188}
BANK {'anchors': 38, 'gap': 0.001275385913574012, 'query': 0.4323447055502616}
BANK {'anchors': 39, 'gap': 0.001249351058157766, 'query': 0.8066660266651292}
BANK {'anchors': 40, 'gap': 0.001226440250296612, 'query': 0.7391883525648372}
BANK {'anchors': 41, 'gap': 0.001156504553259885, 'query': 0.9092574091383575}
BANK {'anchors': 42, 'gap': 0.0011536722743126226, 'query': 0.9354785541942016}
BANK {'anchors': 43, 'gap': 0.0011276509907268695, 'query': 0.8783066133917542}
BANK {'anchors': 44, 'gap': 0.0011021300939639822, 'query': 0.3736538321392164}
BANK {'anchors': 45, 'gap': 0.001022622451076094, 'query': 0.16394013648408295}
BANK {'anchors': 46, 'gap': 0.0010089259053649435, 'query': 0.01625335466560599}
BANK {'anchors': 47, 'gap': 0.0009306975603620149, 'query': 0.3970052549283952}
BANK COMPARISON {"source_sha256": "7942150735f8f40179596814678877d9a95230876caf924d02b7779f97bd0042", "epsilon": 0.001, "exact_oracle": "same 1565 common actions plus three frozen neural actions at every node", "kernel_build_seconds": 2.7808133069999883, "initial_distribution_ols": {"anchors": 3, "preparation_seconds": 5.824632907999984, "memory_bytes": 1203048, "focal_bound": 0.0004107457919294566, "all_state_date_bound": 0.05296881548624227, "history": [{"anchors": 2, "gap": 0.001369752769514454, "next": 0.685104084260919}, {"anchors": 3, "gap": 0.0004107457919294566, "next": 0.36383222600765114}]}}
