lambda,benefit,fee,term,mode,capacity_cost,W_plus,W_minus,A_plus,A_minus,S_plus,S_minus,q_plus,q_minus,principal_b1_plus,principal_b1_minus,agent_delta,principal_b1_delta,replay_error
0.0,0.4,0.85,1,full,0.01,-0.7812894819809195,-0.7813583768642767,0.890233276155981,0.8879302322603687,0.0,0.0,0.8136038371123405,0.8136727319956977,0.0766294390436405,0.07425750026467104,6.889488335715122e-05,0.0023719387789694624,4.440892098500626e-16
0.0,0.4,0.85,1,zero,0.01,-0.816754661051631,-0.8163851837872431,0.890233276155981,0.8878258341690396,0.0,0.0,0.849069016183052,0.8486995389186641,0.04116425997292905,0.039126295250375476,-0.0003694772643878519,0.0020379647225535757,4.440892098500626e-16
0.0,0.425,0.85,1,full,0.01,-0.7590336500770201,-0.7591601210577674,0.890233276155981,0.8879302322603687,0.0,0.0,0.7913480052084411,0.7914744761891884,0.09888527094753996,0.09645575607118029,0.00012647098074736185,0.002429514876359673,4.440892098500626e-16
0.0,0.425,0.85,1,zero,0.01,-0.7944988291477315,-0.7941883206165598,0.890233276155981,0.8878933219612078,0.0,0.0,0.8268131842791525,0.8265026757479808,0.06342009187682851,0.061390646213227096,-0.00031050853117176036,0.0020294456636014147,4.440892098500626e-16
0.0,0.45,0.85,1,full,0.01,-0.7367778181731204,-0.7369618652512582,0.890233276155981,0.8879302322603687,0.0,0.0,0.7690921733045414,0.7692762203826792,0.12114110285143964,0.11865401187768954,0.00018404707813779453,0.0024870909737501057,4.440892098500626e-16
0.0,0.45,0.85,1,zero,0.01,-0.772242997243832,-0.7719909875675295,0.890233276155981,0.8878933219612078,0.0,0.0,0.804557352375253,0.8043053426989505,0.08567592378072797,0.08358797926225736,-0.000252009676302567,0.002087944518470608,4.440892098500626e-16
0.125,0.4,0.85,1,full,0.01,-0.7812855576741713,-0.7814247222608077,0.890233276155981,0.8879302322603687,0.0,0.0,0.8135999128055923,0.8137390773922287,0.07663336335038873,0.07419115486813999,0.00013916458663643105,0.002442208482248742,4.440892098500626e-16
0.125,0.4,0.85,1,zero,0.01,-0.8167428806160426,-0.8164751701446797,0.8902332761559811,0.887897935748603,0.0,0.0,0.8490572357474636,0.8487895252761007,0.04117604040851752,0.03910841047250224,-0.00026771047136286974,0.0020676299360152806,4.440892098500626e-16
0.125,0.425,0.85,1,full,0.01,-0.7590297257702717,-0.7592264664542986,0.890233276155981,0.8879302322603687,0.0,0.0,0.7913440809016927,0.7915408215857196,0.0988891952542883,0.09638941067464912,0.00019674068402686373,0.002499784579639175,4.440892098500626e-16
0.125,0.425,0.85,1,zero,0.01,-0.7944870487121432,-0.7942777217509648,0.8902332761559811,0.887897935748603,0.0,0.0,0.8268014038435642,0.8265920768823858,0.06343187231241698,0.0613058588662172,-0.0002093269611783688,0.0021260134461997815,4.440892098500626e-16
