MECHANISM m000 0.0 0.35 0.0 1 {'local': 0.0, 'future': 0.0, 'replacement': 0.0, 'option': 0.0}
MECHANISM m001 0.0 0.35 0.0 4 {'local': 0.0, 'future': -2.0816681711721685e-17, 'replacement': 0.0, 'option': 0.0}
MECHANISM m002 0.0 0.35 0.4 1 {'local': 0.0, 'future': 0.0, 'replacement': 0.0, 'option': 0.0}
MECHANISM m003 0.0 0.35 0.4 4 {'local': -0.00016363595323831692, 'future': -0.00014286375143422562, 'replacement': 0.0, 'option': -0.00030649970467244714}
MECHANISM m004 0.0 0.35 0.8 1 {'local': -0.0019670669867326573, 'future': -0.0036130539198127934, 'replacement': 0.0, 'option': -0.0055801209065453605}
MECHANISM m005 0.0 0.35 0.8 4 {'local': 5.434586260888441e-05, 'future': 0.00038924618970266264, 'replacement': 0.0, 'option': 0.0004435920523117032}
MECHANISM m006 0.0 0.42425 0.0 1 {'local': 0.0, 'future': 0.0, 'replacement': 0.0, 'option': 0.0}
MECHANISM m007 0.0 0.42425 0.0 4 {'local': 5.551115123125783e-17, 'future': 3.599551212651875e-17, 'replacement': 0.0, 'option': 1.1102230246251565e-16}
MECHANISM m008 0.0 0.42425 0.4 1 {'local': 0.0, 'future': 0.0, 'replacement': 0.0, 'option': 0.0}
MECHANISM m009 0.0 0.42425 0.4 4 {'local': -0.0004372050802087246, 'future': -0.0007110189258731688, 'replacement': 0.0, 'option': -0.0011482240060817217}
MECHANISM m010 0.0 0.42425 0.8 1 {'local': 5.4345862608662365e-05, 'future': 0.0003081564110922648, 'replacement': 0.0, 'option': 0.0003625022737011596}
MECHANISM m011 0.0 0.42425 0.8 4 {'local': 5.4345862608662365e-05, 'future': 0.0003826613320349302, 'replacement': 0.0, 'option': 0.00043700719464390136}
MECHANISM m012 0.0 0.5 0.0 1 {'local': 0.0, 'future': 0.0, 'replacement': 0.0, 'option': 0.0}
MECHANISM m013 0.0 0.5 0.0 4 {'local': 0.0, 'future': -1.3877787807814457e-17, 'replacement': 0.0, 'option': 0.0}
MECHANISM m014 0.0 0.5 0.4 1 {'local': 0.0, 'future': 0.0, 'replacement': 0.0, 'option': 0.0}
MECHANISM m015 0.0 0.5 0.4 4 {'local': -0.00013712710307356435, 'future': -0.0009298427324491744, 'replacement': 0.0, 'option': -0.0010669698355227908}
