architecture,seed,step,width,historical_certificate,certified_objective_upper,endpoint_correction_upper,entropy_allowance_upper
accessible,17100,0,16,26.30051415819305,26.671526631033615,1.1153731465099907e-13,1.6318678910638074
accessible,17100,100,16,10.104267148506947,10.455910787443857,3.783518296196322e-14,1.6318678910638074
accessible,17100,400,16,7.339624178645005,7.804347551797553,1.220215030299286e-14,1.6318678910638074
accessible,17101,0,32,26.499830149491924,26.871619288587603,1.1336170107900776e-13,1.6318678910638074
accessible,17101,100,32,7.547734293166994,7.930877903535069,1.526683554070251e-14,1.6318678910638074
accessible,17101,400,32,7.281385072792772,7.791519879961349,1.2197775436022285e-14,1.6318678910638074
accessible,17102,0,16,26.326373704640535,26.69916845755144,1.1284104688245625e-13,1.6318678910638074
accessible,17102,100,16,10.23743485284289,10.601692544463065,3.9768929066100127e-14,1.6318678910638074
accessible,17102,400,16,7.343311745366288,7.8056040556548405,1.1327126086791148e-14,1.6318678910638074
accessible,17103,0,32,26.51121691824159,26.88216392644219,1.1301603748029647e-13,1.6318678910638074
accessible,17103,100,32,7.535184950144558,7.920266224361325,1.5702116575838667e-14,1.6318678910638074
accessible,17103,400,32,7.280302566720271,7.791431318434535,1.2202128646491746e-14,1.6318678910638074
accessible,17104,0,16,26.367487500533443,26.737291239181125,1.1524300474359052e-13,1.6318678910638074
accessible,17104,100,16,10.591642770779396,10.957894239452896,4.5883041757200923e-14,1.6318678910638074
accessible,17104,400,16,7.336433237822504,7.803336577723164,1.1329346113853833e-14,1.6318678910638074
accessible,17105,0,32,26.468295020031093,26.84032654887511,1.164328941494433e-13,1.6318678910638074
accessible,17105,100,32,7.555937849438007,7.93616913842461,1.5054603670579537e-14,1.6318678910638074
accessible,17105,400,32,7.280017906160774,7.791294467717733,1.1771178730021027e-14,1.6318678910638074
accessible,17106,0,16,26.352907582960185,26.724290125220268,1.0952482072374036e-13,1.6318678910638074
accessible,17106,100,16,9.701133116132457,10.034581131468293,3.586648188801829e-14,1.6318678910638074
accessible,17106,400,16,7.343665026665505,7.805802887763336,1.1766825519551564e-14,1.6318678910638074
accessible,17107,0,32,26.666727866770486,27.039167679394463,1.1557097266000075e-13,1.6318678910638074
accessible,17107,100,32,7.604405823565449,7.976589453988413,1.5487751739960377e-14,1.6318678910638074
accessible,17107,400,32,7.27831906346675,7.791119245183996,1.1985543565899317e-14,1.6318678910638074
accessible,17108,0,16,26.339970900859296,26.707878087660173,1.1139948618128761e-13,1.6318678910638074
accessible,17108,100,16,9.745279019412669,10.075710185394946,3.5197159835061085e-14,1.6318678910638074
accessible,17108,400,16,7.338341327546175,7.804101042744007,1.176460549248888e-14,1.6318678910638074
accessible,17109,0,32,26.527472424953437,26.895964829530133,1.1720519842011244e-13,1.6318678910638074
accessible,17109,100,32,7.5534442139077465,7.9319428251979565,1.5702116575838667e-14,1.6318678910638074
accessible,17109,400,32,7.279139866974318,7.791134021839462,1.220430514290075e-14,1.6318678910638074
allface,17100,0,16,30.316367904216175,30.60261149206224,1.1343154691972625e-13,1.6318678910638074
allface,17100,100,16,11.072177036911445,11.344956339287574,3.652483396232021e-14,1.6318678910638074
