dataset,path,arm,seed,orders,cap,calls,accepted,candidate_status,candidate_bound,deployed_bound,generation_seconds,cumulative_check_seconds
tuning,revisions/2026-09-23-r24/results/tuning/seed24001/diagonal_0.005/record.json,diagonal_adam,24001,--,200,200,True,CERTIFIED,0.01691208141717993,0.01691208141717993,0.5896125009999906,2.081809444000001
tuning,revisions/2026-09-23-r24/results/tuning/seed24001/diagonal_0.02/record.json,diagonal_adam,24001,--,200,200,True,CERTIFIED,0.0039878591227691116,0.0039878591227691116,0.6115518189999989,2.1131281229999956
tuning,revisions/2026-09-23-r24/results/tuning/seed24001/diagonal_0.08/record.json,diagonal_adam,24001,--,200,200,True,CERTIFIED,0.002148713839579264,0.002148713839579264,0.598730144000001,2.0891987980000124
tuning,revisions/2026-09-23-r24/results/tuning/seed24001/direct_0.005/record.json,direct_adam,24001,--,200,200,True,CERTIFIED,0.01915780329454231,0.01915780329454231,0.5932759850000053,2.052522135000004
tuning,revisions/2026-09-23-r24/results/tuning/seed24001/direct_0.02/record.json,direct_adam,24001,--,200,200,True,CERTIFIED,0.004725879106669995,0.004725879106669995,0.586392790000005,2.056905496000013
tuning,revisions/2026-09-23-r24/results/tuning/seed24001/direct_0.08/record.json,direct_adam,24001,--,200,200,True,CERTIFIED,0.002225348372033587,0.002225348372033587,0.6045688889999923,2.064943086999989
tuning,revisions/2026-09-23-r24/results/tuning/seed24001/neural_0.005/record.json,neural_adam,24001,--,200,200,True,CERTIFIED,0.002210393468830008,0.002210393468830008,0.6592443520000018,2.048662527999994
tuning,revisions/2026-09-23-r24/results/tuning/seed24001/neural_0.02/record.json,neural_adam,24001,--,200,200,True,CERTIFIED,0.0019644965945426755,0.0019644965945426755,0.6540196380000083,2.079445516000007
tuning,revisions/2026-09-23-r24/results/tuning/seed24001/neural_0.08/record.json,neural_adam,24001,--,200,200,True,CERTIFIED,0.0019277257977907694,0.0019277257977907694,0.6577710549999978,2.0669742999999983
tuning,revisions/2026-09-23-r24/results/tuning/seed24001/tangent_0.005/record.json,tangent_adam,24001,--,200,200,True,CERTIFIED,0.007097343945678959,0.007097343945678959,0.5872478449999932,2.065935926999998
