MECHANISM 27101 (8, 16) 2.4656411749140607e-12
MECHANISM 27101 (12, 24) 2.106614375054511e-12
MECHANISM 27102 (8, 16) 5.044897688543111e-13
MECHANISM 27102 (12, 24) 5.164202803955289e-13
MECHANISM 27103 (8, 16) 1.0717443353245373e-12
MECHANISM 27103 (12, 24) 8.397648720640614e-13
PRODUCTION 27201 neural_adam False 0.001925057073053127 0
PRODUCTION 27201 neural_adam True 0.001925057073053127 0
PRODUCTION 27201 direct_adam False 0.001936748018089185 0
PRODUCTION 27201 direct_adam True 0.001936748018089185 0
PRODUCTION 27201 direct_lbfgsb False 0.0019233017567694688 0
PRODUCTION 27201 direct_lbfgsb True 0.0019233019598514645 3
PRODUCTION 27202 neural_adam False 0.0019255668950055593 0
PRODUCTION 27202 neural_adam True 0.0019255668950055593 0
PRODUCTION 27202 direct_adam False 0.0019366846373118918 0
PRODUCTION 27202 direct_adam True 0.0019366846373118918 0
PRODUCTION 27202 direct_lbfgsb False 0.0019233019400473061 0
PRODUCTION 27202 direct_lbfgsb True 0.001923301819508172 3
