H12_defer_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 12.998892446000013, 'intervals': 2281, 'isolated_points': 2293, 'affine_comparisons': 101114, 'exact_integrated': False, 'exact_pointwise': False, 'file': 'H12_defer_epsilon1_100_deterministic.json.gz', 'canonical_sha256': '3ce60fd00a2ba32ae61b703e6ed5f187108a4566baa0c1638a62a9f58b2750c4'}
H12_defer_epsilon1_20_deterministic.json.gz {'passed': True, 'seconds': 16.709094375999996, 'intervals': 2837, 'isolated_points': 2849, 'affine_comparisons': 128046, 'exact_integrated': False, 'exact_pointwise': False, 'file': 'H12_defer_epsilon1_20_deterministic.json.gz', 'canonical_sha256': '0084e834494e7b770c865b4a9af183bd4493e0c2ca32e8496976bb62273d64e3'}
H12_neural31001_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 12.75847976099999, 'intervals': 2264, 'isolated_points': 2276, 'affine_comparisons': 100354, 'exact_integrated': False, 'exact_pointwise': False, 'file': 'H12_neural31001_epsilon1_100_deterministic.json.gz', 'canonical_sha256': '1dc39e24104594b9f6ac569962a9e9ab96d7c35db882a568b564d5bfe93bf913'}
H12_neural31001_epsilon1_20_deterministic.json.gz {'passed': True, 'seconds': 9.723094697000022, 'intervals': 1812, 'isolated_points': 1824, 'affine_comparisons': 81422, 'exact_integrated': False, 'exact_pointwise': False, 'file': 'H12_neural31001_epsilon1_20_deterministic.json.gz', 'canonical_sha256': '30591f85c7de39a0e9b8ccd5101bdc78756cd511c761cc22c7821cf897d44898'}
H12_neural31002_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 11.96977819999995, 'intervals': 2159, 'isolated_points': 2171, 'affine_comparisons': 95726, 'exact_integrated': False, 'exact_pointwise': False, 'file': 'H12_neural31002_epsilon1_100_deterministic.json.gz', 'canonical_sha256': '6d97066ec9a4c01275c4ac0d34c3828af4dc2542067b966603708a9c2cb4a534'}
H12_neural31002_epsilon1_20_deterministic.json.gz {'passed': True, 'seconds': 9.910266424000042, 'intervals': 1821, 'isolated_points': 1833, 'affine_comparisons': 81786, 'exact_integrated': False, 'exact_pointwise': False, 'file': 'H12_neural31002_epsilon1_20_deterministic.json.gz', 'canonical_sha256': '8ee0aea81f2eba28d471e674d8a0d0b1365aff41b89b0f04c422d5a1778d0f1d'}
H12_neural31003_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 13.737357275000022, 'intervals': 2431, 'isolated_points': 2443, 'affine_comparisons': 107698, 'exact_integrated': False, 'exact_pointwise': False, 'file': 'H12_neural31003_epsilon1_100_deterministic.json.gz', 'canonical_sha256': 'f2ed70d3073317c0142dd0fb52806da8e4252a047debf5750ca783b570cb5a8b'}
H12_neural31003_epsilon1_20_deterministic.json.gz {'passed': True, 'seconds': 9.671008015999973, 'intervals': 1790, 'isolated_points': 1802, 'affine_comparisons': 80446, 'exact_integrated': False, 'exact_pointwise': False, 'file': 'H12_neural31003_epsilon1_20_deterministic.json.gz', 'canonical_sha256': '15b4c3578f01c025bd2158a360c6492d422dd8fa9dd613499e5b720c340def9f'}
H12_occupancy_stress_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 19.96065004700006, 'intervals': 3472, 'isolated_points': 3484, 'affine_comparisons': 153582, 'exact_integrated': False, 'exact_pointwise': False, 'file': 'H12_occupancy_stress_epsilon1_100_deterministic.json.gz', 'canonical_sha256': '6951d2f34a30befc248ef7e7e874d4ff91c04e5c6296b7bcc8d5509d8fa87da7'}
H12_occupancy_stress_epsilon1_20_deterministic.json.gz {'passed': True, 'seconds': 25.477273287999992, 'intervals': 4311, 'isolated_points': 4323, 'affine_comparisons': 192026, 'exact_integrated': False, 'exact_pointwise': False, 'file': 'H12_occupancy_stress_epsilon1_20_deterministic.json.gz', 'canonical_sha256': 'ecd89e3cbb8eded5f6713b98737f4bf1c3a9ca9c3d577ee9c822a78d03b6dc4d'}
H12_spline129_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 7.699346622000007, 'intervals': 1607, 'isolated_points': 1619, 'affine_comparisons': 71426, 'exact_integrated': True, 'exact_pointwise': True, 'file': 'H12_spline129_epsilon1_100_deterministic.json.gz', 'canonical_sha256': '3fbe3380338ab10e63bee6d2cee3776568c40006aecd9cdb1fcaa4854a167aca'}
H12_spline129_epsilon1_20_deterministic.json.gz {'passed': True, 'seconds': 7.692316382999934, 'intervals': 1607, 'isolated_points': 1619, 'affine_comparisons': 72158, 'exact_integrated': True, 'exact_pointwise': True, 'file': 'H12_spline129_epsilon1_20_deterministic.json.gz', 'canonical_sha256': '7ecf1b6dee9d16e5bfa77900cd6b9493bfe30fcd555f230269f3b70e077333a6'}
H12_spline33_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 7.709214967000094, 'intervals': 1603, 'isolated_points': 1615, 'affine_comparisons': 71254, 'exact_integrated': True, 'exact_pointwise': True, 'file': 'H12_spline33_epsilon1_100_deterministic.json.gz', 'canonical_sha256': '4ffad4ba5afadcc8cd7538d5b1e5e3f7752eb7553c6cc070f186afae3644749d'}
H12_spline33_epsilon1_20_deterministic.json.gz {'passed': True, 'seconds': 7.73033181400001, 'intervals': 1603, 'isolated_points': 1615, 'affine_comparisons': 71962, 'exact_integrated': True, 'exact_pointwise': True, 'file': 'H12_spline33_epsilon1_20_deterministic.json.gz', 'canonical_sha256': 'd27f611cb44f942beb6a31200e07a20f6ed4cd1dae1beadd4835557f04b3fef9'}
H4_defer_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 0.21837797199998477, 'intervals': 53, 'isolated_points': 57, 'affine_comparisons': 2486, 'exact_integrated': True, 'exact_pointwise': True, 'file': 'H4_defer_epsilon1_100_deterministic.json.gz', 'canonical_sha256': '4c1056ab577e7a071f8706c008bf30a4346862b8f4bb6516796af00498fa60a2'}
H4_defer_epsilon1_20_deterministic.json.gz {'passed': True, 'seconds': 0.21738196499995865, 'intervals': 53, 'isolated_points': 57, 'affine_comparisons': 2498, 'exact_integrated': True, 'exact_pointwise': True, 'file': 'H4_defer_epsilon1_20_deterministic.json.gz', 'canonical_sha256': '594a343b6b99f10a838c86779af61a3dd944c9865c87e9d95cbe761377edd473'}
H4_neural31001_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 0.2746541869998964, 'intervals': 68, 'isolated_points': 72, 'affine_comparisons': 3146, 'exact_integrated': True, 'exact_pointwise': True, 'file': 'H4_neural31001_epsilon1_100_deterministic.json.gz', 'canonical_sha256': '93a5dd05f2c1026f364d5593c2328dd7982d31d811e1236db369a4b0e448c0b5'}
H4_neural31001_epsilon1_20_deterministic.json.gz {'passed': True, 'seconds': 0.20368638399997963, 'intervals': 52, 'isolated_points': 56, 'affine_comparisons': 2462, 'exact_integrated': True, 'exact_pointwise': True, 'file': 'H4_neural31001_epsilon1_20_deterministic.json.gz', 'canonical_sha256': 'e8c5965c1cbabfb80721d42b6b1600a03e17ea92e1950e13aff673fad35222ed'}
H4_neural31002_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 0.2383264220000001, 'intervals': 60, 'isolated_points': 64, 'affine_comparisons': 2798, 'exact_integrated': True, 'exact_pointwise': True, 'file': 'H4_neural31002_epsilon1_100_deterministic.json.gz', 'canonical_sha256': '4d15b2972013809c234992daafc0766e3522ac0098697f7cac985ce787c7ed16'}
H4_neural31002_epsilon1_20_deterministic.json.gz {'passed': True, 'seconds': 0.23877353499995024, 'intervals': 60, 'isolated_points': 64, 'affine_comparisons': 2810, 'exact_integrated': True, 'exact_pointwise': True, 'file': 'H4_neural31002_epsilon1_20_deterministic.json.gz', 'canonical_sha256': '99e0cebb72d740b107e18861ceb94470671392b25f4017a55bd43484a8812af0'}
H4_neural31003_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 0.2737750160000587, 'intervals': 68, 'isolated_points': 72, 'affine_comparisons': 3150, 'exact_integrated': True, 'exact_pointwise': True, 'file': 'H4_neural31003_epsilon1_100_deterministic.json.gz', 'canonical_sha256': 'cb5a69c56ffe3865f9a01c68e89c5a4cc8d8e4870bf4e92e1a147241e9cde2d3'}
