{'file': 'results/randomized/random_H12_neural31002_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 1322, 'cost_cells': 12446, 'restart_cells': 13011, 'support_inequalities_for_horizon_rule': 28572, 'seconds': 140.89094133300003, 'sha256': 'e1ab86dba2d93512ed137cc9ccccb3ae97a017f4018046a1415a76c8f56a003b', 'restart_sha256': 'ad3ceead2b50e11be2cba57d53d1a7c84aadf7780bc94dc3052ab92d63179c94'}
{'file': 'results/randomized/random_H12_neural31001_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 1344, 'cost_cells': 12413, 'restart_cells': 13027, 'support_inequalities_for_horizon_rule': 27084, 'seconds': 141.48842852299998, 'sha256': '1fc43b68aa195f8a56599a78e9b7aa412177e933ae74351d16d65d2ebddcfedc', 'restart_sha256': '7ffec7686b250a6c8868a7b40fa16794154a4b8f13ab8ba891687237efdbae72'}
{'file': 'results/randomized/random_H12_neural31003_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 1738, 'cost_cells': 12358, 'restart_cells': 13162, 'support_inequalities_for_horizon_rule': 39900, 'seconds': 148.14148776400003, 'sha256': '015ce2518f103ad4792eaa442e20c3598e688593ba69ef84617471a6561a0a65', 'restart_sha256': 'bdb603ae10c6f5c76004ba95ec9951c218e003dfe90aa2425b1e2e17437d0ec6'}
{'file': 'results/randomized/random_H12_defer_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 978, 'cost_cells': 12635, 'restart_cells': 13012, 'support_inequalities_for_horizon_rule': 37062, 'seconds': 153.000703568, 'sha256': 'fa24e30c734d4527084fcc415da0501f8961903495a8f497df643cb42289f90c', 'restart_sha256': '306b2d00202b14357552c0ff813887aa3be5ff18a6e5dc941c9633d31eff4d4d'}
{'file': 'results/randomized/random_H12_neural31002_eps1_20.json.gz', 'passed': True, 'operating_cells_and_points': 1312, 'cost_cells': 12445, 'restart_cells': 12857, 'support_inequalities_for_horizon_rule': 28572, 'seconds': 128.57480079600003, 'sha256': '550799246d8394900af2385eefac61b1fb7be13f01dc144ab5129443ea77fa50', 'restart_sha256': '56471e43fa224e9fb246e6eda923fe5ba80dc57317fa2c2dd97c3440cd534d48'}
{'file': 'results/randomized/random_H12_neural31001_eps1_20.json.gz', 'passed': True, 'operating_cells_and_points': 1286, 'cost_cells': 12404, 'restart_cells': 12856, 'support_inequalities_for_horizon_rule': 27084, 'seconds': 127.99880263400001, 'sha256': 'fa2415c6dd1267bb428f368cd0a8602922401d46fed3914a33cb140e746b3ccf', 'restart_sha256': 'd37ec00f3e6d41e2a5bd0463f0b4c8c4f71c594221a7979e65bcb16c7ec947be'}
{'file': 'results/randomized/random_H12_neural31003_eps1_20.json.gz', 'passed': True, 'operating_cells_and_points': 1784, 'cost_cells': 12368, 'restart_cells': 12829, 'support_inequalities_for_horizon_rule': 39900, 'seconds': 129.02428761099998, 'sha256': '85e5f5603048e308b81029cbabdc64d34bb0e44c27f3203ea6d468dec8eddc74', 'restart_sha256': '01333c8e3a527a9c3995019ed322bf9c9f842d529cac11cd830b26939202de1f'}
{'file': 'results/randomized/random_H12_defer_eps1_20.json.gz', 'passed': True, 'operating_cells_and_points': 978, 'cost_cells': 12635, 'restart_cells': 13074, 'support_inequalities_for_horizon_rule': 37062, 'seconds': 143.11427323100003, 'sha256': '268d329df028b8541bccd40677b62d9d7ece35e2b65bd42b5c9261203b09331d', 'restart_sha256': '180be6a8f959f586fd280228b86b60d47d43e72efb1f6ad31d2976a972b8f736'}
{'file': 'results/randomized/random_H4_defer_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 34, 'cost_cells': 4103, 'restart_cells': 4117, 'support_inequalities_for_horizon_rule': 1350, 'seconds': 16.919106828999986, 'sha256': '1c0b92a01243616bacf3db31e03ef4ce254f5ec818ac42bd00c5bc5e88611c76', 'restart_sha256': '266a89d54007e51b49602ef28012e2dfd4e108612454ddb43344343df2428cc2'}
{'file': 'results/randomized/random_H4_defer_eps1_20.json.gz', 'passed': True, 'operating_cells_and_points': 34, 'cost_cells': 4103, 'restart_cells': 4117, 'support_inequalities_for_horizon_rule': 1350, 'seconds': 16.62782473599998, 'sha256': '72b9625959c0bb1e5613e2c61205d898b53a799aaafd682e7423eb36a508240c', 'restart_sha256': 'f251d4e723daabe04f442af93fc8eeb69aa2037bfb4e85e5f4167053220c8f10'}
{'file': 'results/randomized/random_H4_neural31001_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 78, 'cost_cells': 4107, 'restart_cells': 4125, 'support_inequalities_for_horizon_rule': 1926, 'seconds': 15.65141120699991, 'sha256': '31ba92e935e4f65adfc554f0fdd0ffe1ee7d8deb26971a10f31d15a720a3bb72', 'restart_sha256': '3fc831e6074ede4a774b226076f67d4e8bb4f0aca6024cf5447be5fe6b219827'}
