{'seed': 391101, 'n': 2, 'T': 3, 'beta': '19/20', 'epsilon': '1/100'} interval 2.841437742749107 2.842429760775881 0.0003490035322818969 1057 0.9865328020000135
{'seed': 391101, 'n': 2, 'T': 3, 'beta': '19/20', 'epsilon': '1/100'} lp 2.8414487635031893 2.842429760775881 0.0003451263022323667 241 1.3215385759999947
{'seed': 391102, 'n': 2, 'T': 4, 'beta': '4/5', 'epsilon': '1/20'} interval 0.0 0.0 0.0 1 0.0015274630000021716
{'seed': 391102, 'n': 2, 'T': 4, 'beta': '4/5', 'epsilon': '1/20'} lp 0.0 0.0 0.0 1 0.007876308999996695
{'seed': 391103, 'n': 2, 'T': 8, 'beta': '19/20', 'epsilon': '1/20'} interval 7.253489288751938 9.004537880763158 0.19446290472630148 4095 17.191318256000002
{'seed': 391103, 'n': 2, 'T': 8, 'beta': '19/20', 'epsilon': '1/20'} lp 8.529096313656854 9.004537880763158 0.052800218445636406 4077 60.032459989
{'seed': 391104, 'n': 2, 'T': 12, 'beta': '4/5', 'epsilon': '1/100'} interval 7.141931530970441 7.555210801491621 0.05470122295457154 4095 16.315461827999997
{'seed': 391104, 'n': 2, 'T': 12, 'beta': '4/5', 'epsilon': '1/100'} lp 7.444608892785206 7.555210801491621 0.014639155890207483 3035 60.02853343800001
{'seed': 391105, 'n': 4, 'T': 3, 'beta': '19/20', 'epsilon': '1/100'} interval 2.6157820423355105 2.621694270830712 0.0022551174486596156 4095 10.816325384999999
{'seed': 391105, 'n': 4, 'T': 3, 'beta': '19/20', 'epsilon': '1/100'} lp 2.6206953424378763 2.621694270830712 0.0003810239828303955 2985 35.61350712999996
{'seed': 391106, 'n': 4, 'T': 4, 'beta': '4/5', 'epsilon': '1/20'} interval 0.023360578130543326 0.024334281150101014 0.04001363399853906 159 0.47199258099999497
{'seed': 391106, 'n': 4, 'T': 4, 'beta': '4/5', 'epsilon': '1/20'} lp 0.023572185585004114 0.024334281150101014 0.03131777595549543 157 2.2315787160000014
{'seed': 391107, 'n': 4, 'T': 8, 'beta': '19/20', 'epsilon': '1/20'} interval 4.663144526847581 7.848072596401893 0.4058229623174621 3815 60.04156305499998
{'seed': 391107, 'n': 4, 'T': 8, 'beta': '19/20', 'epsilon': '1/20'} lp 6.199036623940067 7.848072596401893 0.2101198672930038 1529 60.03041471200004
{'seed': 391108, 'n': 4, 'T': 12, 'beta': '4/5', 'epsilon': '1/100'} interval 4.8936667420219235 6.643833216994086 0.26342721405098757 2353 60.03381624000002
{'seed': 391108, 'n': 4, 'T': 12, 'beta': '4/5', 'epsilon': '1/100'} lp 5.8606077593535995 6.643833216994086 0.11788758568428459 957 60.05940643799994
