case,n,T,m,method,lower_exact,upper_exact,absolute_width,relative_width,target_met,nodes,stop,search_seconds,archived_check_seconds
maintenance0,4,4,3,bellman,13443779710114019524482901907/10766648130806595685711872000,2476160552086243134348044535455334937994149692661268253285053449589/1982279876199760642042451028865511413126891435478799060572307456000,0.0004973829372737705,0.00039817781059965087,True,1,target,0.09962339199999803,0.07670051099999853
maintenance0,4,4,3,aggregate,6721514833150280922788555641/5383324065403297842855936000,2476160552086243134348044535455334937994149692661268253285053449589/1982279876199760642042451028865511413126891435478799060572307456000,0.0005670465692923167,0.000453946737108476,True,13,target,0.3665346129999989,0.23748195400000327
maintenance0,4,4,3,certified_intersection,13443779710114019524482901907/10766648130806595685711872000,2476160552086243134348044535455334937994149692661268253285053449589/1982279876199760642042451028865511413126891435478799060572307456000,0.0004973829372737705,0.00039817781059965087,True,,combined three computations,,
maintenance1,8,8,3,bellman,1617986382616534288901422096114009512772108250390036577543131/332443444175543407277603645115580235711255716823040000000000,5359334670028246960150250897960986521154904435357375050352496622171199005101308376184722218614719014540491949835588680290960640719293446289841961081460419/1099551645113383434918463227124480736276190674049068709494841561707487511871443337598309679398899935376228147872183024392925463330186463490867200000000000,0.007156799428453636,0.00146832975916043,False,363,time_cap,120.396325252,80.470325506
maintenance1,8,8,3,aggregate,1612996021002198487365054085120398201639697956366005483793131/332443444175543407277603645115580235711255716823040000000000,5359334670028246960150250897960986521154904435357375050352496622171199005101308376184722218614719014540491949835588680290960640719293446289841961081460419/1099551645113383434918463227124480736276190674049068709494841561707487511871443337598309679398899935376228147872183024392925463330186463490867200000000000,0.02216795907610995,0.004548104824887598,False,1125,time_cap,120.22281829299999,77.3180995680001
maintenance1,8,8,3,certified_intersection,1617986382616534288901422096114009512772108250390036577543131/332443444175543407277603645115580235711255716823040000000000,5359334670028246960150250897960986521154904435357375050352496622171199005101308376184722218614719014540491949835588680290960640719293446289841961081460419/1099551645113383434918463227124480736276190674049068709494841561707487511871443337598309679398899935376228147872183024392925463330186463490867200000000000,0.007156799428453636,0.00146832975916043,False,,combined three computations,,
maintenance2,8,16,4,bellman,55878160822058443603472108669216624494185636314411302445588715464116043375046923949629781767627932191586947705600815725046494703528418857475326533835996533603455186134996749/5260750023564162539345742307019749764083944164908651109622049910420839618656441762373434696301473730994782829944432779292261025665802840373513420800000000000000000000000000,127785097227911167882325613781515963360344101292359501287722486981050357258949222356717290215598889129707851897906712339283384206698169645656249032014349326873040861659884380920486628830717868129814350900835784823311654613083441083930017529129509235407711891743132324229498619847477655238658890795149490704343202515994484678083043262016662637072253/12020685642625701206618513186879880860912757689453219403462137073017969985567904169484166861221875729851685129408747632080820621475067271248455553440187267137639002935420329105289387954157336399391162760180653127261917278137560534289259989473214590974122016684505302269149044615386709183191371011197136228217471876726784000000000000000000000000000,0.00872338266824096,0.0008206046172053149,False,45,time_cap,120.178455375,34.05631160799999
maintenance2,8,16,4,aggregate,55789829273771524335989247328497040134821417416307005883738611599769237485431335375209052759315408266334508561503710386824219027480628012029029223835996533603455186134996749/5260750023564162539345742307019749764083944164908651109622049910420839618656441762373434696301473730994782829944432779292261025665802840373513420800000000000000000000000000,127785097227911167882325613781515963360344101292359501287722486981050357258949222356717290215598889129707851897906712339283384206698169645656249032014349326873040861659884380920486628830717868129814350900835784823311654613083441083930017529129509235407711891743132324229498619847477655238658890795149490704343202515994484678083043262016662637072253/12020685642625701206618513186879880860912757689453219403462137073017969985567904169484166861221875729851685129408747632080820621475067271248455553440187267137639002935420329105289387954157336399391162760180653127261917278137560534289259989473214590974122016684505302269149044615386709183191371011197136228217471876726784000000000000000000000000000,0.025514058501774402,0.0024000958121930534,False,209,time_cap,120.678693528,58.52437670400002
maintenance2,8,16,4,certified_intersection,55878160822058443603472108669216624494185636314411302445588715464116043375046923949629781767627932191586947705600815725046494703528418857475326533835996533603455186134996749/5260750023564162539345742307019749764083944164908651109622049910420839618656441762373434696301473730994782829944432779292261025665802840373513420800000000000000000000000000,127785097227911167882325613781515963360344101292359501287722486981050357258949222356717290215598889129707851897906712339283384206698169645656249032014349326873040861659884380920486628830717868129814350900835784823311654613083441083930017529129509235407711891743132324229498619847477655238658890795149490704343202515994484678083043262016662637072253/12020685642625701206618513186879880860912757689453219403462137073017969985567904169484166861221875729851685129408747632080820621475067271248455553440187267137639002935420329105289387954157336399391162760180653127261917278137560534289259989473214590974122016684505302269149044615386709183191371011197136228217471876726784000000000000000000000000000,0.00872338266824096,0.0008206046172053149,False,,combined three computations,,
maintenance3,16,32,4,bellman,4053779774365931767510015163133592884851741168213812694659946975079808362378698768896390500369902938879336420489329115759379268013415244950426262967675267299551538134979703025450750781172401544597408111150694492630580903022130690388886424672737921314811169628783937590433952843879843633597731174799044049869508557645519293461443085562819130319262162371127294127709080958597468237528895242551710772674316354823529527000517659954926038052534903751987321974833697140028472709209755608106431770106392237080109463207852606408934211450897367457/256778318335037960360361861645288791640563016338437643064773839363071000004408537536329837276958427497689268542388630446882455604437688788400263148082164594092552763519409068659090223363349678198628325773948833090263443600092856223593746873152135593180283490975335010413028005260162074705288858594998142790412623521901212828914153360611616654503984289365779595186587252832758867935175326630964297783280471397311833133609717134564163075577893733007360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3586237249241764406742652840821042088288857208201937857684351986005831992802671396694094275873675271782325047874454994244872185703383604327275803647559359602960053959737332369228352026746341755095814796556563274112913947824101250648754084914870674122021304723960729354500112634375579261452699395695233012284897918803975284258321821467237979627732535728684083050437994145198588067451649448860928243660330134930992465264379545271654209305884538044831725191990320463914705510714828835442841331204542701604065282860554809143044429090627614641172200040683109751453437525035628863563503954322608256409388673532317104565243068477781006476107785626929466397964964766577346053224799234563348899407406370087192987777450617568742463884843405479790198680067500109453330269466195010382149494295114595658462598814504125769304678942808856245988906070765446794557863880175637913985386597882163893472177332766237089498313882366866060205396580164068589336506433132839576406276235239185654808377492353888639856299771722417870649762082172311721057/217141799302558541660631874817529092244095721983022049047924758652399092542841407713368240571584442376446984115943070561275713166327976132418883622565241623708995998522571681526030658219651859585078260403880141018996679047585726618930060395723975604849222659941475635105073226716990073357302756398584819744870062193848607057046454901560210188722658672606559482087881992975874491015215322146396069904592983491164626416586376480195857105621839218396299522756001471080605919566665407500073270106952074084620604873606706187552022266292023590648690465934182491282999706904261749642637266080659199539708761308680015008798040448082480246293615270232510217327533771093607621410950061646544595092920256257485584680742940685712650252835191646558716846563283920680288563195091198512557042659951945300622270618966268586412690842935601090827030563174833317888151705981901220628556219613884021103322736863388729175081828357956446102794616072789032960000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.7285670470012386,0.04411374610864055,False,7,time_cap,128.17403947600002,27.163891528999983
