case,method,lower,upper,absolute_width,relative_width,target_met,nodes,stop,seconds,lp_seconds,proof_bytes
maintenance0,constant,72430643934569/70368744177664,2476160552086243134348044535455334937994149692661268253285053449589/1982279876199760642042451028865511413126891435478799060572307456000,0.21984644501651976,0.1759971434175104,False,0,price LP proposal,0.005096168000001455,0.002308706000000882,1077
maintenance0,restart,21703943573557/17592186044416,2476160552086243134348044535455334937994149692661268253285053449589/1982279876199760642042451028865511413126891435478799060572307456000,0.015421447416164158,0.012345574623252573,False,0,price LP proposal,0.004845233000004612,0.0025006629999992924,1082
maintenance0,price_root,13411055132846994388319094407/10766648130806595685711872000,2476160552086243134348044535455334937994149692661268253285053449589/1982279876199760642042451028865511413126891435478799060572307456000,0.0035368225910496144,0.0028313883936239037,False,1,node_cap,0.025706415000001925,0.005551257000000476,2218
maintenance0,price_search,13445568858395977953465174407/10766648130806595685711872000,2476160552086243134348044535455334937994149692661268253285053449589/1982279876199760642042451028865511413126891435478799060572307456000,0.0003312078881571247,0.000265147076581657,True,9,target,0.19004629500000192,0.0465246790000009,4993
maintenance1,constant,638211731747221/140737488355328,5359334670028246960150250897960986521154904435357375050352496622171199005101308376184722218614719014540491949835588680290960640719293446289841961081460419/1099551645113383434918463227124480736276190674049068709494841561707487511871443337598309679398899935376228147872183024392925463330186463490867200000000000,0.3393419928080442,0.06962133724076097,False,0,price LP proposal,0.012038735000004408,0.003210660000000587,2235
maintenance1,restart,674823185837421/140737488355328,5359334670028246960150250897960986521154904435357375050352496622171199005101308376184722218614719014540491949835588680290960640719293446289841961081460419/1099551645113383434918463227124480736276190674049068709494841561707487511871443337598309679398899935376228147872183024392925463330186463490867200000000000,0.07920196531398406,0.0162495265959469,False,0,price LP proposal,0.02332609699999466,0.013634820999996577,2463
maintenance1,price_root,1605316756799245510776054464141986754530713152364039702543131/332443444175543407277603645115580235711255716823040000000000,5359334670028246960150250897960986521154904435357375050352496622171199005101308376184722218614719014540491949835588680290960640719293446289841961081460419/1099551645113383434918463227124480736276190674049068709494841561707487511871443337598309679398899935376228147872183024392925463330186463490867200000000000,0.04526741956328388,0.009287321788132371,False,1,node_cap,0.1304744520000014,0.02397163199999852,8653
maintenance1,price_search,807337037204124047182784418117246226330370157928095002638753/166221722087771703638801822557790117855627858411520000000000,5359334670028246960150250897960986521154904435357375050352496622171199005101308376184722218614719014540491949835588680290960640719293446289841961081460419/1099551645113383434918463227124480736276190674049068709494841561707487511871443337598309679398899935376228147872183024392925463330186463490867200000000000,0.01712032334904316,0.003512503111363683,False,1091,time_cap,121.06187281899999,28.78890708999998,2423196
maintenance2,constant,730633588713511/70368744177664,127785097227911167882325613781515963360344101292359501287722486981050357258949222356717290215598889129707851897906712339283384206698169645656249032014349326873040861659884380920486628830717868129814350900835784823311654613083441083930017529129509235407711891743132324229498619847477655238658890795149490704343202515994484678083043262016662637072253/12020685642625701206618513186879880860912757689453219403462137073017969985567904169484166861221875729851685129408747632080820621475067271248455553440187267137639002935420329105289387954157336399391162760180653127261917278137560534289259989473214590974122016684505302269149044615386709183191371011197136228217471876726784000000000000000000000000000,0.2475055443475402,0.02328273333863291,False,0,price LP proposal,0.03062446700002397,0.00721728799999255,3558
maintenance2,restart,1492353974672797/140737488355328,127785097227911167882325613781515963360344101292359501287722486981050357258949222356717290215598889129707851897906712339283384206698169645656249032014349326873040861659884380920486628830717868129814350900835784823311654613083441083930017529129509235407711891743132324229498619847477655238658890795149490704343202515994484678083043262016662637072253/12020685642625701206618513186879880860912757689453219403462137073017969985567904169484166861221875729851685129408747632080820621475067271248455553440187267137639002935420329105289387954157336399391162760180653127261917278137560534289259989473214590974122016684505302269149044615386709183191371011197136228217471876726784000000000000000000000000000,0.02662056473721505,0.0025041843476043017,False,0,price LP proposal,0.07253560600000242,0.04590716100000236,3939
maintenance2,price_root,55801514901796468081297670472466196384461963773665542519421808335231082313989687793753267187478077460339191498273868546836389704207577619179535377835996533603455186134996749/5260750023564162539345742307019749764083944164908651109622049910420839618656441762373434696301473730994782829944432779292261025665802840373513420800000000000000000000000000,127785097227911167882325613781515963360344101292359501287722486981050357258949222356717290215598889129707851897906712339283384206698169645656249032014349326873040861659884380920486628830717868129814350900835784823311654613083441083930017529129509235407711891743132324229498619847477655238658890795149490704343202515994484678083043262016662637072253/12020685642625701206618513186879880860912757689453219403462137073017969985567904169484166861221875729851685129408747632080820621475067271248455553440187267137639002935420329105289387954157336399391162760180653127261917278137560534289259989473214590974122016684505302269149044615386709183191371011197136228217471876726784000000000000000000000000000,0.023292772948839743,0.0021911404963262096,False,1,node_cap,0.4841575789999979,0.1565485789999741,37143
maintenance2,price_search,55812776089906095970858058094646577868151542785622905622123140185715850887148983249113126838203694607880217469670006525507836696784483818280939143035996533603455186134996749/5260750023564162539345742307019749764083944164908651109622049910420839618656441762373434696301473730994782829944432779292261025665802840373513420800000000000000000000000000,127785097227911167882325613781515963360344101292359501287722486981050357258949222356717290215598889129707851897906712339283384206698169645656249032014349326873040861659884380920486628830717868129814350900835784823311654613083441083930017529129509235407711891743132324229498619847477655238658890795149490704343202515994484678083043262016662637072253/12020685642625701206618513186879880860912757689453219403462137073017969985567904169484166861221875729851685129408747632080820621475067271248455553440187267137639002935420329105289387954157336399391162760180653127261917278137560534289259989473214590974122016684505302269149044615386709183191371011197136228217471876726784000000000000000000000000000,0.02115216789078028,0.001989774757706049,False,275,time_cap,122.60829733799997,46.438849520999355,9479735
