case,method,grid_or_nodes,cumulative_seconds,lower,upper,width
T16-401,highs-ds,16,0.6104891519999995,3.7105215908116143,3.7147147618919365,0.0041931710803219165
T16-401,highs-ds,64,1.4104856609999956,3.7135947262048283,3.7146312045526453,0.0010364783478170024
T16-401,highs-ds,256,4.680443338999993,3.7143517092489686,3.71460968137027,0.00025797212130081214
T16-401,highs-ipm,16,0.6115498350000053,3.7105278144411384,3.7147147618919365,0.004186947450798107
T16-401,highs-ipm,64,1.4629235209999933,3.713595118735179,3.7146312045526453,0.001036085817466201
T16-401,highs-ipm,256,5.559432000000001,3.714351733838388,3.71460968137027,0.00025794753188174233
T16-503,highs-ds,16,0.6037148460000026,3.836970318016608,3.844385688229933,0.007415370213324978
T16-503,highs-ds,64,1.4015459999999962,3.842444797668321,3.844302721985765,0.0018579243174438342
T16-503,highs-ds,256,4.644271289000002,3.8438171095131044,3.844281584599814,0.0004644750867094507
T16-503,highs-ipm,16,0.6055223930000011,3.836983677927682,3.844385688229933,0.007402010302251015
T16-503,highs-ipm,64,1.4422264210000009,3.8424456290450584,3.844302721985765,0.0018570929407066027
T16-503,highs-ipm,256,6.217077085,3.843817161417955,3.844281584599814,0.00046442318185884644
T16-607,highs-ds,16,0.5991341259999956,4.172304827189334,4.175818666479994,0.0035138392906600025
T16-607,highs-ds,64,1.3772479309999994,4.174783771821687,4.175659940910395,0.0008761690887081105
T16-607,highs-ipm,16,0.6008739239999983,4.172313914245825,4.175818666479994,0.003504752234169616
T16-607,highs-ipm,64,1.4275241379999954,4.174784346372501,4.175659940910395,0.0008755945378947846
T32-401,highs-ds,16,0.8079439540000095,4.42253008992872,4.42672200637747,0.004191916448750138
T32-401,highs-ds,64,2.397054419,4.425602051787879,4.426638449038179,0.0010363972502991925
T32-401,highs-ds,256,8.873361810000006,4.426358958843223,4.426616925855804,0.0002579670125804257
T32-401,highs-ipm,16,0.8288616359999992,4.42253505892646,4.42672200637747,0.004186947451010003
T32-401,highs-ipm,64,2.542237279999995,4.425602363220155,4.426638449038179,0.001036085818023811
T32-401,highs-ipm,256,9.898997551000008,4.426358978321956,4.426616925855804,0.000257947533847186
T32-503,highs-ds,16,0.8129751460000136,4.57520622613738,4.582633322390348,0.007427096252968374
T32-503,highs-ds,64,2.4607077410000215,4.580689248204734,4.582551537351684,0.00186228914695005
T32-503,highs-ds,256,9.14941295700001,4.582065046461949,4.582530701374693,0.0004656549127442141
T32-503,highs-ipm,16,0.8147183890000065,4.575210789728211,4.582633322390348,0.007422532662136353
T32-503,highs-ipm,64,2.500293522000021,4.580689533985087,4.582551537351684,0.0018620033665971035
T32-503,highs-ipm,256,9.762817589999997,4.5820650643323395,4.582530701374693,0.00046563704235316267
T32-607,highs-ds,16,0.8036862550000023,4.882578728313777,4.886091474752139,0.0035127464383622785
T32-607,highs-ds,64,2.3749727750000034,4.885056424820867,4.885933028803184,0.0008766039823170233
T32-607,highs-ipm,16,0.8029047210000044,4.882582621982617,4.886091474752139,0.0035088527695222
T32-607,highs-ipm,64,2.460667050000012,4.885056668162263,4.885933028803184,0.0008763606409215982
T4-401,highs-ds,16,0.45355194799999765,1.4548976072708084,1.4581984422508294,0.0033008349800210074
T4-401,highs-ds,64,0.659626019000001,1.4572702238705477,1.4580930365402323,0.0008228126696845406
T4-401,highs-ipm,16,0.44933954500000084,1.4548976072708084,1.4581984422508294,0.0033008349800210074
T4-401,highs-ipm,64,0.6629429600000094,1.4572702238705477,1.4580930365402323,0.0008228126696845406
T4-503,highs-ds,16,0.4562190780000037,1.7331489165178595,1.7399174928840093,0.006768576366149946
T4-503,highs-ds,64,0.6636101960000076,1.7381347271027148,1.7398336189067096,0.001698891803994885
T4-503,highs-ds,256,1.4702986340000024,1.7393871888970103,1.7398123626646522,0.0004251737676419262
